cds,rtype,schoolname,districtname,countyname,charter_flag,studentgroup,currstatus,statuslevel,ReportingYear
01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,Y,ALL,-3.6,2,2018
01100170123968,S,Community School for Creative Education,Alameda County Office of Education,Alameda,Y,ALL,-50,2,2018
01100170124172,S,Yu Ming Charter,Alameda County Office of Education,Alameda,Y,ALL,96.2,5,2018
01100170125567,S,Urban Montessori Charter,Alameda County Office of Education,Alameda,Y,ALL,0.5,3,2018
01100170130401,S,Alameda County Juvenile Hall/Court,Alameda County Office of Education,Alameda,,ALL,,0,2018
01100170130419,S,Alameda County Community,Alameda County Office of Education,Alameda,,ALL,-144.6,1,2018
01100170131581,S,Oakland Unity Middle,Alameda County Office of Education,Alameda,Y,ALL,-55,2,2018
01100170136101,S,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,Y,ALL,36.7,4,2018
01100176001788,S,Cox Academy,Alameda County Office of Education,Alameda,Y,ALL,-61.7,2,2018
01100176002000,S,Lazear Charter Academy,Alameda County Office of Education,Alameda,Y,ALL,-31.3,2,2018
01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,,ALL,103.5,5,2018
01611190111765,S,Ruby Bridges Elementary,Alameda Unified,Alameda,,ALL,-37.6,2,2018
01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,Y,ALL,-20.1,2,2018
01611190122085,S,The Academy of Alameda,Alameda Unified,Alameda,Y,ALL,12.4,4,2018
01611190126656,S,Maya Lin,Alameda Unified,Alameda,,ALL,-0.2,3,2018
01611190130229,S,Alameda High,Alameda Unified,Alameda,,ALL,58.4,4,2018
01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,Y,ALL,29.8,4,2018
01611190130625,S,Alternatives in Action,Alameda Unified,Alameda,Y,ALL,-132.5,1,2018
01611190131805,S,The Academy of Alameda Elementary,Alameda Unified,Alameda,Y,ALL,-51.6,2,2018
01611190132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,,ALL,17.1,4,2018
01611190134304,S,Island High (Continuation),Alameda Unified,Alameda,,ALL,-60,1,2018
01611196090005,S,Donald D. Lum Elementary,Alameda Unified,Alameda,,ALL,47.6,5,2018
01611196090013,S,Edison Elementary,Alameda Unified,Alameda,,ALL,48.4,5,2018
01611196090021,S,Frank Otis Elementary,Alameda Unified,Alameda,,ALL,33.1,4,2018
01611196090039,S,Franklin Elementary,Alameda Unified,Alameda,,ALL,38.7,4,2018
01611196090047,S,Henry Haight Elementary,Alameda Unified,Alameda,,ALL,7,3,2018
01611196090054,S,Lincoln Middle,Alameda Unified,Alameda,,ALL,71.6,5,2018
01611196090112,S,Will C. Wood Middle,Alameda Unified,Alameda,,ALL,13.1,4,2018
01611196090120,S,William G. Paden Elementary,Alameda Unified,Alameda,,ALL,2.3,3,2018
01611196100374,S,Amelia Earhart Elementary,Alameda Unified,Alameda,,ALL,72.9,5,2018
01611196110779,S,Bay Farm,Alameda Unified,Alameda,,ALL,63.7,5,2018
01611270130294,S,MacGregor High (Continuation),Albany City Unified,Alameda,,ALL,,0,2018
01611270130450,S,Albany High,Albany City Unified,Alameda,,ALL,60.9,4,2018
01611276090146,S,Cornell Elementary,Albany City Unified,Alameda,,ALL,74.6,5,2018
01611276090161,S,Albany Middle,Albany City Unified,Alameda,,ALL,52.9,5,2018
01611276095376,S,Marin Elementary,Albany City Unified,Alameda,,ALL,64.7,5,2018
01611276116222,S,Ocean View Elementary,Albany City Unified,Alameda,,ALL,46.3,5,2018
01611430122689,S,REALM Charter Middle,Berkeley Unified,Alameda,Y,ALL,-79.8,1,2018
01611430122697,S,REALM Charter High,Berkeley Unified,Alameda,Y,ALL,-33.2,2,2018
01611430131177,S,Berkeley High,Berkeley Unified,Alameda,,ALL,43.9,4,2018
01611430134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,,ALL,,0,2018
01611436056857,S,Martin Luther King Middle,Berkeley Unified,Alameda,,ALL,52.1,5,2018
01611436056865,S,Willard Middle,Berkeley Unified,Alameda,,ALL,48.1,5,2018
01611436090187,S,Rosa Parks Environmental Science Magnet,Berkeley Unified,Alameda,,ALL,34.6,4,2018
01611436090195,S,Cragmont Elementary,Berkeley Unified,Alameda,,ALL,22.4,4,2018
01611436090211,S,Emerson Elementary,Berkeley Unified,Alameda,,ALL,51.2,5,2018
01611436090252,S,Jefferson Elementary,Berkeley Unified,Alameda,,ALL,48.7,5,2018
01611436090278,S,Leconte Elementary,Berkeley Unified,Alameda,,ALL,4.9,3,2018
01611436090286,S,Malcolm X Elementary,Berkeley Unified,Alameda,,ALL,36.3,4,2018
01611436090294,S,Longfellow Arts and Technology Middle,Berkeley Unified,Alameda,,ALL,-16.4,2,2018
01611436090302,S,Oxford Elementary,Berkeley Unified,Alameda,,ALL,34.7,4,2018
01611436090310,S,Thousand Oaks Elementary,Berkeley Unified,Alameda,,ALL,-15.2,2,2018
01611436090328,S,Washington Elementary,Berkeley Unified,Alameda,,ALL,30.2,4,2018
01611436097729,S,Berkeley Arts Magnet at Whittier,Berkeley Unified,Alameda,,ALL,37.3,4,2018
01611436105316,S,John Muir Elementary,Berkeley Unified,Alameda,,ALL,13.7,4,2018
01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,,ALL,50.2,4,2018
01611500133876,S,Castro Valley Virtual Academy,Castro Valley Unified,Alameda,,ALL,,0,2018
01611500135533,S,Redwood Continuation High,Castro Valley Unified,Alameda,,ALL,-120.9,1,2018
01611506090351,S,Castro Valley Elementary,Castro Valley Unified,Alameda,,ALL,12.6,4,2018
01611506090369,S,Chabot Elementary,Castro Valley Unified,Alameda,,ALL,30.6,4,2018
01611506090385,S,Creekside Middle,Castro Valley Unified,Alameda,,ALL,20.6,4,2018
01611506090393,S,Independent Elementary,Castro Valley Unified,Alameda,,ALL,45.9,5,2018
01611506090401,S,Marshall Elementary,Castro Valley Unified,Alameda,,ALL,33,4,2018
01611506090419,S,Palomares Elementary,Castro Valley Unified,Alameda,,ALL,31.6,4,2018
01611506090435,S,Proctor Elementary,Castro Valley Unified,Alameda,,ALL,56.6,5,2018
01611506090468,S,Stanton Elementary,Castro Valley Unified,Alameda,,ALL,11.9,4,2018
01611506090484,S,Vannoy Elementary,Castro Valley Unified,Alameda,,ALL,43.2,4,2018
01611506097653,S,Canyon Middle,Castro Valley Unified,Alameda,,ALL,32.3,4,2018
01611506113005,S,Jensen Ranch Elementary,Castro Valley Unified,Alameda,,ALL,90,5,2018
01611680132746,S,Emery Secondary,Emery Unified,Alameda,,ALL,-31.6,2,2018
01611686090492,S,Anna Yates Elementary,Emery Unified,Alameda,,ALL,-53.8,2,2018
01611760130062,S,American High,Fremont Unified,Alameda,,ALL,118.2,5,2018
01611760130138,S,Robertson High (Continuation),Fremont Unified,Alameda,,ALL,-98.4,1,2018
01611760130435,S,Vista Alternative,Fremont Unified,Alameda,,ALL,,0,2018
01611760130534,S,Circle of Independent Learning,Fremont Unified,Alameda,Y,ALL,30.4,4,2018
01611760134270,S,Irvington High,Fremont Unified,Alameda,,ALL,104.9,5,2018
01611760134452,S,John F. Kennedy High,Fremont Unified,Alameda,,ALL,38.7,4,2018
01611760135244,S,Mission San Jose High,Fremont Unified,Alameda,,ALL,153.4,5,2018
01611760138693,S,Washington High,Fremont Unified,Alameda,,ALL,69,4,2018
01611766000541,S,John Blacow Elementary,Fremont Unified,Alameda,,ALL,-4.4,3,2018
01611766000558,S,Brier Elementary,Fremont Unified,Alameda,,ALL,13.9,4,2018
01611766000566,S,Cabrillo Elementary,Fremont Unified,Alameda,,ALL,-6.5,2,2018
01611766000590,S,E. M. Grimmer Elementary,Fremont Unified,Alameda,,ALL,14.8,4,2018
01611766000624,S,Glenmoor Elementary,Fremont Unified,Alameda,,ALL,37.7,4,2018
01611766000640,S,Harvey Green Elementary,Fremont Unified,Alameda,,ALL,77.2,5,2018
01611766000665,S,J. Haley Durham Elementary,Fremont Unified,Alameda,,ALL,39.2,4,2018
01611766000673,S,James Leitch Elementary,Fremont Unified,Alameda,,ALL,85.3,5,2018
