cds,schoolname,districtname,countyname,charter_flag,math_status,english_status,combined_status,status_level,ReportingYear
19642121931880,Whitney (Gretchen) High,ABC Unified,Los Angeles,,155.3,164.2,319.5,5,2018
01611760135244,Mission San Jose High,Fremont Unified,Alameda,,155.9,153.4,309.3,5,2018
43694684334421,Lynbrook High,Fremont Union High,Santa Clara,,141.8,142.8,284.6,5,2018
30664313030616,Oxford Academy,Anaheim Union High,Orange,,142.4,141.0,283.4,5,2018
19647251995539,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,,128.4,145.5,273.9,5,2018
19647330133736,"Millikan Science, Technology, Engineering and Math (STEM) Magnet",Los Angeles Unified,Los Angeles,,150.0,123.7,273.7,5,2018
29663570112367,William & Marian Ghidotti High,Nevada Joint Union High,Nevada,,102.5,162.8,265.3,5,2018
10621660114553,University High,Fresno Unified,Fresno,Y,97.4,166.2,263.6,5,2018
43695344337762,Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,,125.1,131.9,257.0,5,2018
07618040113118,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,,116.9,137.7,254.6,5,2018
37683386039846,La Jolla Elementary,San Diego Unified,San Diego,,118.1,135.1,253.2,5,2018
19651361996321,Academy of the Canyons,William S. Hart Union High,Los Angeles,,87.3,161.2,248.5,5,2018
43694684334462,Monta Vista High,Fremont Union High,Santa Clara,,126.6,121.0,247.6,5,2018
43694840114496,Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,,99.5,142.5,242.0,5,2018
01611766056923,William Hopkins Junior High,Fremont Unified,Alameda,,133.4,108.5,241.9,5,2018
43694196046882,Joaquin Miller Middle,Cupertino Union,Santa Clara,,136.9,103.1,240.0,5,2018
43696414332904,Henry M. Gunn High,Palo Alto Unified,Santa Clara,,114.6,119.0,233.6,5,2018
37683460106328,Canyon Crest Academy,San Dieguito Union High,San Diego,,108.0,125.3,233.3,5,2018
19649641937754,San Marino High,San Marino Unified,Los Angeles,,118.1,109.6,227.7,5,2018
19649646022529,Valentine Elementary,San Marino Unified,Los Angeles,,103.3,122.8,226.1,5,2018
38684783833407,Lowell High,San Francisco Unified,San Francisco,,101.6,123.7,225.3,5,2018
